,IC objective incomplete beta
0,0.002451459712519679
1,0.0024514607701845506
2,0.0024514607701845506
3,0.0024514607701845506
4,0.0024514607693956526
5,0.0024514607701845506
6,0.0024514607700500163
7,0.002451460770032725
8,0.0024514607701845506
9,0.0024514607701845506
10,0.0024514607701845506
11,0.0024514607701845506
12,0.0024514607701845506
13,0.002451459979829585
14,0.002451460759799044
15,0.0024514607701845506
16,0.0024514607701845506
17,0.0024514607269770076
18,0.00245146058218076
19,0.0024514607701845506
20,0.0024514607701845506
21,0.0024514491276924236
22,0.0024514607701845506
23,0.0024514607690362513
24,0.002451460755306229
25,0.0024514607693306364
26,0.0024514538379580173
27,0.0024514607701845506
28,0.0024514607701845506
29,0.0024514607372247044
30,0.0024514607656783215
31,0.0024514607701845506
32,0.0024514607701845506
33,0.0024514607703470517
34,0.0024514569219805417
35,0.002451460769939044
36,0.0024514607686413146
37,0.0024514607701845506
38,0.0024514607701845506
39,0.0024514600704025396
40,0.002451459333341316
41,0.0024514607701845506
42,0.0024514607703470517
43,0.0024514577230076483
44,0.0024514607701845506
45,0.0024514205106149394
46,0.0024514607701845506
47,0.0024514607701845506
48,0.0024514607696692237
49,0.0024514607692405557
50,0.0024513909838722566
51,0.0024514607701845506
52,0.0024511588865349203
53,0.0024514607701845506
54,0.0024514607703470517
55,0.0024514607684561953
56,0.002451460762573322
57,0.0024514607701845506
58,0.0024514607701845506
59,0.0024514604985979662
60,0.0024514607701845506
61,0.0024514607701845506
62,0.0024514607701845506
63,0.0024514607701845506
64,0.002451460762412796
65,0.0024514607687411843
66,0.0024514607701845506
67,0.00245146066783288
68,0.002451460762412796
69,0.0024514607684137067
70,0.0024514607701845506
71,0.0024514607701845506
72,0.002451439947197916
73,0.0024514607701845506
74,0.0024514606832621317
75,0.0024514607701845506
76,0.0024514607701845506
77,0.0024514607699853887
78,0.0024514607701845506
79,0.002451460750331135
80,0.0024514607482801183
81,0.0024514607700592767
82,0.0024514607701845506
83,0.0024514607701845506
84,0.0024514607701845506
85,0.002451460717107519
86,0.0024514607701845506
87,0.0024514547930647316
88,0.0024514607703470517
89,0.0024514607701845506
90,0.002451459773437895
91,0.0024514607699381466
92,0.0024514607701845506
93,0.0024514584358748754
94,0.0024514607701845506
95,0.002451460742678716
96,0.0024514590212227493
97,0.002451460766842225
98,0.0024514607701845506
99,0.002451460568029251
100,0.0024514607701845506
101,0.0024514607701845506
102,0.0024514607701845506
103,0.002451460764453914
104,0.002451460768965948
105,0.0024514607701845506
106,0.0024514607701845506
107,0.0024514607701845506
108,0.0024514607701845506
109,0.0024514607701845506
110,0.0024514350343549673
111,0.0024514607701845506
112,0.0024514607701845506
113,0.0024514607701845506
114,0.00245146076699807
